Ten-Year Age Groups,Ten-Year Age Groups Code,ICD Chapter,ICD Chapter Code,Year,Year Code,Deaths,Population,Crude Rate
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2002,2002,82,3951461,2.1
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2003,2003,105,3975871,2.6
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2004,2004,94,4014258,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2005,2005,94,4004393,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2006,2006,102,4041738,2.5
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2007,2007,116,4147997,2.8
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2008,2008,80,4132735,1.9
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2009,2009,92,4003587,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2010,2010,95,3944153,2.4
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2011,2011,93,3996537,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2012,2012,74,3943077,1.9
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2013,2013,86,3941783,2.2
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2014,2014,91,3948350,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2015,2015,95,3978038,2.4
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2016,2016,103,3970145,2.6
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2017,2017,84,3939295,2.1
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2018,2018,75,3848208,1.9
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2019,2019,88,3783052,2.3
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2020,2020,83,3735010,2.2
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,1999,1999,261,3795762,6.9
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2000,2000,260,3805648,6.8
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2001,2001,292,4012658,7.3
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2002,2002,266,3951461,6.7
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2003,2003,248,3975871,6.2
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2004,2004,233,4014258,5.8
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2005,2005,226,4004393,5.6
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2006,2006,207,4041738,5.1
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2007,2007,252,4147997,6.1
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2008,2008,248,4132735,6
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2009,2009,196,4003587,4.9
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2010,2010,188,3944153,4.8
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2011,2011,176,3996537,4.4
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2012,2012,170,3943077,4.3
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2013,2013,181,3941783,4.6
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2014,2014,181,3948350,4.6
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2015,2015,195,3978038,4.9
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2016,2016,194,3970145,4.9
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2017,2017,185,3939295,4.7
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2018,2018,146,3848208,3.8
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2019,2019,166,3783052,4.4
< 1 year,1,"Endocrine, nutritional and metabolic diseases",E00-E88,2020,2020,147,3735010,3.9
< 1 year,1,Mental and behavioural disorders,F01-F99,1999,1999,12,3795762,Unreliable
< 1 year,1,Mental and behavioural disorders,F01-F99,2000,2000,13,3805648,Unreliable
< 1 year,1,Diseases of the nervous system,G00-G98,1999,1999,441,3795762,11.6
< 1 year,1,Diseases of the nervous system,G00-G98,2000,2000,389,3805648,10.2
< 1 year,1,Diseases of the nervous system,G00-G98,2001,2001,360,4012658,9
< 1 year,1,Diseases of the nervous system,G00-G98,2002,2002,382,3951461,9.7
< 1 year,1,Diseases of the nervous system,G00-G98,2003,2003,400,3975871,10.1
< 1 year,1,Diseases of the nervous system,G00-G98,2004,2004,377,4014258,9.4
< 1 year,1,Diseases of the nervous system,G00-G98,2005,2005,354,4004393,8.8
< 1 year,1,Diseases of the nervous system,G00-G98,2006,2006,373,4041738,9.2
< 1 year,1,Diseases of the nervous system,G00-G98,2007,2007,413,4147997,10
< 1 year,1,Diseases of the nervous system,G00-G98,2008,2008,415,4132735,10
< 1 year,1,Diseases of the nervous system,G00-G98,2009,2009,354,4003587,8.8
< 1 year,1,Diseases of the nervous system,G00-G98,2010,2010,345,3944153,8.7
< 1 year,1,Diseases of the nervous system,G00-G98,2011,2011,318,3996537,8
< 1 year,1,Diseases of the nervous system,G00-G98,2012,2012,321,3943077,8.1
< 1 year,1,Diseases of the nervous system,G00-G98,2013,2013,334,3941783,8.5
< 1 year,1,Diseases of the nervous system,G00-G98,2014,2014,297,3948350,7.5
< 1 year,1,Diseases of the nervous system,G00-G98,2015,2015,319,3978038,8
< 1 year,1,Diseases of the nervous system,G00-G98,2016,2016,293,3970145,7.4
< 1 year,1,Diseases of the nervous system,G00-G98,2017,2017,252,3939295,6.4
< 1 year,1,Diseases of the nervous system,G00-G98,2018,2018,265,3848208,6.9
< 1 year,1,Diseases of the nervous system,G00-G98,2019,2019,225,3783052,5.9
< 1 year,1,Diseases of the nervous system,G00-G98,2020,2020,247,3735010,6.6
< 1 year,1,Diseases of the circulatory system,I00-I99,1999,1999,667,3795762,17.6
< 1 year,1,Diseases of the circulatory system,I00-I99,2000,2000,663,3805648,17.4
< 1 year,1,Diseases of the circulatory system,I00-I99,2001,2001,622,4012658,15.5
< 1 year,1,Diseases of the circulatory system,I00-I99,2002,2002,667,3951461,16.9
< 1 year,1,Diseases of the circulatory system,I00-I99,2003,2003,591,3975871,14.9
< 1 year,1,Diseases of the circulatory system,I00-I99,2004,2004,593,4014258,14.8
< 1 year,1,Diseases of the circulatory system,I00-I99,2005,2005,529,4004393,13.2
< 1 year,1,Diseases of the circulatory system,I00-I99,2006,2006,543,4041738,13.4
< 1 year,1,Diseases of the circulatory system,I00-I99,2007,2007,624,4147997,15
< 1 year,1,Diseases of the circulatory system,I00-I99,2008,2008,594,4132735,14.4
< 1 year,1,Diseases of the circulatory system,I00-I99,2009,2009,581,4003587,14.5
< 1 year,1,Diseases of the circulatory system,I00-I99,2010,2010,507,3944153,12.9
< 1 year,1,Diseases of the circulatory system,I00-I99,2011,2011,500,3996537,12.5
< 1 year,1,Diseases of the circulatory system,I00-I99,2012,2012,492,3943077,12.5
< 1 year,1,Diseases of the circulatory system,I00-I99,2013,2013,458,3941783,11.6
< 1 year,1,Diseases of the circulatory system,I00-I99,2014,2014,444,3948350,11.2
< 1 year,1,Diseases of the circulatory system,I00-I99,2015,2015,428,3978038,10.8
< 1 year,1,Diseases of the circulatory system,I00-I99,2016,2016,460,3970145,11.6
< 1 year,1,Diseases of the circulatory system,I00-I99,2017,2017,449,3939295,11.4
< 1 year,1,Diseases of the circulatory system,I00-I99,2018,2018,428,3848208,11.1
< 1 year,1,Diseases of the circulatory system,I00-I99,2019,2019,406,3783052,10.7
< 1 year,1,Diseases of the circulatory system,I00-I99,2020,2020,386,3735010,10.3
< 1 year,1,Diseases of the respiratory system,J00-J98,1999,1999,687,3795762,18.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2000,2000,651,3805648,17.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2001,2001,696,4012658,17.3
< 1 year,1,Diseases of the respiratory system,J00-J98,2002,2002,636,3951461,16.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2003,2003,699,3975871,17.6
< 1 year,1,Diseases of the respiratory system,J00-J98,2004,2004,646,4014258,16.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2005,2005,669,4004393,16.7
< 1 year,1,Diseases of the respiratory system,J00-J98,2006,2006,692,4041738,17.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2007,2007,640,4147997,15.4
< 1 year,1,Diseases of the respiratory system,J00-J98,2008,2008,578,4132735,14
< 1 year,1,Diseases of the respiratory system,J00-J98,2009,2009,595,4003587,14.9
< 1 year,1,Diseases of the respiratory system,J00-J98,2010,2010,574,3944153,14.6
< 1 year,1,Diseases of the respiratory system,J00-J98,2011,2011,590,3996537,14.8
< 1 year,1,Diseases of the respiratory system,J00-J98,2012,2012,497,3943077,12.6
< 1 year,1,Diseases of the respiratory system,J00-J98,2013,2013,521,3941783,13.2
< 1 year,1,Diseases of the respiratory system,J00-J98,2014,2014,517,3948350,13.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2015,2015,537,3978038,13.5
< 1 year,1,Diseases of the respiratory system,J00-J98,2016,2016,538,3970145,13.6
< 1 year,1,Diseases of the respiratory system,J00-J98,2017,2017,439,3939295,11.1
< 1 year,1,Diseases of the respiratory system,J00-J98,2018,2018,411,3848208,10.7
< 1 year,1,Diseases of the respiratory system,J00-J98,2019,2019,427,3783052,11.3
< 1 year,1,Diseases of the respiratory system,J00-J98,2020,2020,308,3735010,8.2
< 1 year,1,Diseases of the digestive system,K00-K92,1999,1999,500,3795762,13.2
< 1 year,1,Diseases of the digestive system,K00-K92,2000,2000,499,3805648,13.1
< 1 year,1,Diseases of the digestive system,K00-K92,2001,2001,478,4012658,11.9
< 1 year,1,Diseases of the digestive system,K00-K92,2002,2002,509,3951461,12.9
< 1 year,1,Diseases of the digestive system,K00-K92,2003,2003,551,3975871,13.9
< 1 year,1,Diseases of the digestive system,K00-K92,2004,2004,580,4014258,14.4
< 1 year,1,Diseases of the digestive system,K00-K92,2005,2005,626,4004393,15.6
< 1 year,1,Diseases of the digestive system,K00-K92,2006,2006,582,4041738,14.4
< 1 year,1,Diseases of the digestive system,K00-K92,2007,2007,677,4147997,16.3
< 1 year,1,Diseases of the digestive system,K00-K92,2008,2008,579,4132735,14
< 1 year,1,Diseases of the digestive system,K00-K92,2009,2009,220,4003587,5.5
< 1 year,1,Diseases of the digestive system,K00-K92,2010,2010,204,3944153,5.2
< 1 year,1,Diseases of the digestive system,K00-K92,2011,2011,192,3996537,4.8
< 1 year,1,Diseases of the digestive system,K00-K92,2012,2012,178,3943077,4.5
< 1 year,1,Diseases of the digestive system,K00-K92,2013,2013,174,3941783,4.4
< 1 year,1,Diseases of the digestive system,K00-K92,2014,2014,176,3948350,4.5
< 1 year,1,Diseases of the digestive system,K00-K92,2015,2015,187,3978038,4.7
< 1 year,1,Diseases of the digestive system,K00-K92,2016,2016,182,3970145,4.6
< 1 year,1,Diseases of the digestive system,K00-K92,2017,2017,169,3939295,4.3
< 1 year,1,Diseases of the digestive system,K00-K92,2018,2018,169,3848208,4.4
< 1 year,1,Diseases of the digestive system,K00-K92,2019,2019,169,3783052,4.5
< 1 year,1,Diseases of the digestive system,K00-K92,2020,2020,166,3735010,4.4
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2000,2000,14,3805648,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2002,2002,13,3951461,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2003,2003,13,3975871,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2004,2004,16,4014258,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2005,2005,10,4004393,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2006,2006,19,4041738,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2007,2007,15,4147997,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2008,2008,16,4132735,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2010,2010,14,3944153,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2011,2011,12,3996537,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2013,2013,14,3941783,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2014,2014,15,3948350,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2015,2015,13,3978038,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2017,2017,12,3939295,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2019,2019,14,3783052,Unreliable
< 1 year,1,Diseases of the musculoskeletal system and connective tissue,M00-M99,2020,2020,14,3735010,Unreliable
< 1 year,1,Diseases of the genitourinary system,N00-N98,1999,1999,192,3795762,5.1
< 1 year,1,Diseases of the genitourinary system,N00-N98,2000,2000,191,3805648,5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2001,2001,157,4012658,3.9
< 1 year,1,Diseases of the genitourinary system,N00-N98,2002,2002,187,3951461,4.7
< 1 year,1,Diseases of the genitourinary system,N00-N98,2003,2003,206,3975871,5.2
< 1 year,1,Diseases of the genitourinary system,N00-N98,2004,2004,200,4014258,5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2005,2005,180,4004393,4.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2006,2006,180,4041738,4.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2007,2007,169,4147997,4.1
< 1 year,1,Diseases of the genitourinary system,N00-N98,2008,2008,169,4132735,4.1
< 1 year,1,Diseases of the genitourinary system,N00-N98,2009,2009,127,4003587,3.2
< 1 year,1,Diseases of the genitourinary system,N00-N98,2010,2010,126,3944153,3.2
< 1 year,1,Diseases of the genitourinary system,N00-N98,2011,2011,92,3996537,2.3
< 1 year,1,Diseases of the genitourinary system,N00-N98,2012,2012,100,3943077,2.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2013,2013,100,3941783,2.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2014,2014,102,3948350,2.6
< 1 year,1,Diseases of the genitourinary system,N00-N98,2015,2015,101,3978038,2.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2016,2016,81,3970145,2
< 1 year,1,Diseases of the genitourinary system,N00-N98,2017,2017,101,3939295,2.6
< 1 year,1,Diseases of the genitourinary system,N00-N98,2018,2018,95,3848208,2.5
< 1 year,1,Diseases of the genitourinary system,N00-N98,2019,2019,79,3783052,2.1
< 1 year,1,Diseases of the genitourinary system,N00-N98,2020,2020,62,3735010,1.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,1999,1999,14084,3795762,371
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2000,2000,13918,3805648,365.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2001,2001,13734,4012658,342.3
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2002,2002,14106,3951461,357
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2003,2003,14254,3975871,358.5
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2004,2004,14079,4014258,350.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2005,2005,14423,4004393,360.2
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2006,2006,14321,4041738,354.3
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2007,2007,14466,4147997,348.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2008,2008,13800,4132735,333.9
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2009,2009,12999,4003587,324.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2010,2010,12008,3944153,304.5
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2011,2011,11931,3996537,298.5
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2012,2012,11805,3943077,299.4
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2013,2013,11952,3941783,303.2
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2014,2014,11795,3948350,298.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2015,2015,11613,3978038,291.9
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2016,2016,11365,3970145,286.3
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2017,2017,11000,3939295,279.2
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2018,2018,10571,3848208,274.7
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2019,2019,10294,3783052,272.1
< 1 year,1,Certain conditions originating in the perinatal period,P00-P96,2020,2020,9550,3735010,255.7
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1999,1999,5473,3795762,144.2
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2000,2000,5743,3805648,150.9
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2001,2001,5513,4012658,137.4
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2002,2002,5623,3951461,142.3
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2003,2003,5621,3975871,141.4
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2004,2004,5622,4014258,140.1
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2005,2005,5552,4004393,138.6
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2006,2006,5819,4041738,144
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2007,2007,5785,4147997,139.5
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2008,2008,5638,4132735,136.4
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2009,2009,5319,4003587,132.9
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2010,2010,5107,3944153,129.5
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2011,2011,5013,3996537,125.4
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2012,2012,4939,3943077,125.3
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2013,2013,4758,3941783,120.7
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2014,2014,4746,3948350,120.2
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2015,2015,4825,3978038,121.3
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2016,2016,4816,3970145,121.3
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2017,2017,4580,3939295,116.3
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2018,2018,4473,3848208,116.2
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2019,2019,4301,3783052,113.7
< 1 year,1,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,2020,2020,4043,3735010,108.2
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,1999,1999,3538,3795762,93.2
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2000,2000,3639,3805648,95.6
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2001,2001,3491,4012658,87
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2002,2002,3456,3951461,87.5
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2003,2003,3318,3975871,83.5
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2004,2004,3361,4014258,83.7
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2005,2005,3589,4004393,89.6
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2006,2006,3462,4041738,85.7
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2007,2007,3617,4147997,87.2
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2008,2008,3546,4132735,85.8
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2009,2009,3420,4003587,85.4
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2010,2010,3052,3944153,77.4
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2011,2011,2833,3996537,70.9
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2012,2012,2793,3943077,70.8
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2013,2013,2671,3941783,67.8
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2014,2014,2698,3948350,68.3
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2015,2015,2819,3978038,70.9
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2016,2016,2793,3970145,70.4
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2017,2017,2692,3939295,68.3
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2018,2018,2656,3848208,69
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2019,2019,2453,3783052,64.8
< 1 year,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2020,2020,2490,3735010,66.7
< 1 year,1,Codes for special purposes,U00-U99,2020,2020,35,3735010,0.9
< 1 year,1,External causes of morbidity and mortality,V01-Y89,1999,1999,1285,3795762,33.9
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2000,2000,1314,3805648,34.5
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2001,2001,1417,4012658,35.3
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2002,2002,1365,3951461,34.5
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2003,2003,1376,3975871,34.6
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2004,2004,1497,4014258,37.3
< 1 year,1,External causes of morbidity and mortality,V01-Y89,2005,2005,1512,4004393,37.8
